"species","intercept","dbh","Cdens","Hdens","LCdens","LHdens"
"ABIBAL","2.518 (0.13)","0.298 (0.076)","-0.338 (0.185)","0.108 (0.11)","-0.942 (0.157)","-0.127 (0.123)"
"ACERUB","4.004 (0.749)","2.28 (0.945)","0.354 (0.364)","0.255 (0.388)","0.778 (0.469)","0.11 (0.46)"
"ACESPI","-0.944 (0.286)","0.73 (0.364)","0.881 (0.551)","0.994 (0.563)","0.117 (0.485)","-0.724 (0.399)"
"ACESUG","2.562 (0.054)","1.555 (0.07)","-0.276 (0.034)","-0.071 (0.042)","-0.087 (0.037)","0.132 (0.041)"
"ALNINC","-0.416 (0.928)","1.381 (1.823)","2.034 (2.59)","1.579 (3.831)","-2.764 (4.07)","-2.156 (2.779)"
"BETALL","2.874 (0.293)","0.27 (0.136)","0.134 (0.139)","0.2 (0.172)","0.027 (0.135)","0.017 (0.147)"
"BETPAP","2.327 (0.391)","0.348 (0.421)","-0.092 (0.486)","0.093 (0.512)","0.434 (0.383)","-0.748 (0.573)"
"CORCOR","-0.244 (0.086)","-0.016 (0.078)","0.193 (0.104)","-0.31 (0.098)","-0.163 (0.097)","-0.007 (0.099)"
"DIRPAL","1.362 (0.281)","-0.301 (0.262)","-0.047 (0.385)","-0.233 (0.425)","0.162 (0.377)","0.013 (0.468)"
"FRAAME","1.763 (0.088)","4.637 (0.2)","-0.365 (0.051)","-0.086 (0.047)","-0.39 (0.05)","0.123 (0.049)"
"FRANIG","1.43 (0.149)","2.13 (0.202)","0.1 (0.194)","-0.053 (0.134)","-0.965 (0.208)","0.298 (0.135)"
"ILEVER","-1.066 (0.415)","0.032 (0.443)","-0.597 (0.793)","-0.017 (0.421)","-0.146 (0.519)","-1.125 (0.873)"
"JUGCIN","0.948 (1231.739)","-0.113 (0.757)","10.31 (3261.568)","-4.341 (4.099)","2.73 (8.496)","-0.121 (0.862)"
"OSTVIR","2.218 (0.07)","0.377 (0.058)","-0.524 (0.06)","-0.21 (0.042)","-0.223 (0.056)","0.059 (0.054)"
"PICGLA","1.735 (0.119)","0.449 (0.143)","-0.217 (0.18)","0.016 (0.144)","-0.433 (0.159)","-0.021 (0.104)"
"PICMAR","3.58 (0.838)","2.544 (0.713)","0.116 (0.531)","1.035 (0.833)","0.431 (0.42)","-0.174 (0.674)"
"POPGRA","2.772 (0.276)","2.213 (0.334)","-0.139 (0.273)","0.112 (0.314)","-0.165 (0.262)","0.272 (0.227)"
"POPTRE","1.341 (0.098)","1.996 (0.159)","0.996 (0.157)","0.188 (0.089)","0.348 (0.139)","0.005 (0.09)"
"PRUSER","1.38 (0.357)","2.3 (0.677)","0.197 (0.312)","0.168 (0.326)","-0.316 (0.282)","0.408 (0.374)"
"PRUVIR","-0.158 (0.229)","0.352 (0.212)","0.056 (0.3)","-0.128 (0.234)","-0.87 (0.351)","-0.146 (0.245)"
"THUOCC","3.539 (0.709)","-0.198 (0.741)","0.025 (0.607)","0.231 (0.847)","0.31 (0.854)","0.407 (0.778)"
"TILAME","3.63 (0.246)","1.822 (0.163)","-0.146 (0.127)","0.181 (0.144)","-0.092 (0.12)","0.121 (0.139)"
"ULMAME","17.032 (0.002)","2.233 (0.002)","1.433 (0.002)","6.704 (0.002)","-2.493 (0.002)","0.989 (0.002)"
